N,P,K,temperature,humidity,ph,rainfall,label
77,78,67,33.78,49.87,5.02,92.34,Rice
90,91,68,33.27,49.32,4.93,105.99,Rice
79,92,68,33.34,55.39,4.47,92.6,Rice
76,88,48,33.05,55.72,4.69,107.4,Rice
81,76,49,31.61,54.43,5.01,106.66,Rice
91,78,66,34.26,57.13,4.56,89.68,Rice
86,87,50,32.9,55.45,4.55,93.98,Rice
77,92,65,34.04,53.42,4.97,109.02,Rice
82,78,56,33.49,51.41,4.42,95.25,Rice
78,80,65,34.37,54.88,4.84,105.27,Rice
93,77,49,33.55,51.66,4.58,97.88,Rice
75,76,48,31.49,54.26,4.98,101.32,Rice
76,85,61,31.47,54.21,5.1,100.08,Rice
78,84,54,31.73,56.42,4.61,100.41,Rice
92,77,49,33.7,57.33,4.59,92.58,Rice
81,77,50,31.16,49.52,4.63,98.38,Rice
91,87,56,34.88,50.07,5.37,103.81,Rice
87,76,50,33.67,56.06,5.1,98.51,Rice
84,73,56,34.5,51.41,5.03,107.06,Rice
90,76,48,31.83,55.66,4.73,91.37,Rice
73,74,51,31.13,52.08,5.09,101.42,Rice
73,76,48,33.56,54.08,4.77,99.15,Rice
88,80,62,31.61,57.27,4.41,97.23,Rice
81,89,59,33.57,52.69,5.36,107.45,Rice
81,79,54,31.07,49.7,5.1,96.09,Rice
86,93,52,32.91,56.44,5.02,90.21,Rice
82,77,50,31.42,57.88,5.17,98.18,Rice
90,77,55,34.45,48.83,4.55,97.58,Rice
86,78,49,33.93,49.32,5.18,102.97,Rice
86,81,60,31.27,53.99,5.35,92.01,Rice
79,81,51,34.28,51.65,5.39,95.43,Rice
78,88,53,33.88,50.98,4.72,90.61,Rice
83,73,61,30.97,56.9,4.8,96.46,Rice
75,92,55,34.55,56.66,4.78,100.63,Rice
84,78,50,32.19,50.79,5.07,101.52,Rice
91,79,63,32.82,49.96,4.43,94.16,Rice
85,81,64,30.99,58.3,4.86,98.22,Rice
86,80,58,33.77,53.73,5.39,99.49,Rice
83,77,65,32.76,49.0,5.35,107.83,Rice
85,91,52,34.8,57.4,4.68,100.1,Rice
87,92,48,34.59,55.16,5.03,107.05,Rice
76,89,60,32.43,48.38,5.09,106.73,Rice
85,89,50,34.67,48.94,5.15,100.03,Rice
83,83,60,31.03,48.88,5.14,99.87,Rice
78,82,56,33.23,51.41,4.52,97.24,Rice
86,74,53,31.58,57.32,5.03,97.64,Rice
81,74,52,32.02,48.56,5.15,95.29,Rice
90,88,53,34.1,53.85,5.28,91.01,Rice
73,85,51,32.0,56.4,5.37,98.35,Rice
90,75,50,32.01,54.97,4.79,101.22,Rice
80,91,63,34.36,57.86,4.53,101.32,Rice
74,76,57,32.32,48.97,4.77,96.62,Rice
41,92,118,24.17,91.93,8.69,164.59,Maize
33,95,130,25.54,87.83,8.26,172.91,Maize
24,93,125,26.53,90.39,7.96,166.7,Maize
26,83,129,26.73,89.55,8.36,172.84,Maize
28,82,117,24.48,88.26,8.0,175.11,Maize
24,83,129,26.75,92.46,8.24,170.16,Maize
28,89,116,26.62,91.8,8.73,160.74,Maize
33,97,123,26.87,82.99,8.44,160.36,Maize
32,87,120,24.1,86.71,8.49,164.31,Maize
34,94,127,26.87,85.56,8.3,171.29,Maize
36,84,117,27.6,87.26,8.18,168.09,Maize
26,91,133,23.86,91.1,8.01,170.6,Maize
22,90,118,24.75,86.37,8.07,164.0,Maize
26,80,113,25.51,84.36,8.12,175.43,Maize
34,88,132,25.07,90.29,8.66,168.62,Maize
36,96,125,26.62,88.2,8.63,161.93,Maize
35,82,124,26.3,83.26,8.47,158.44,Maize
21,89,114,25.11,88.8,7.98,164.71,Maize
37,87,131,24.17,87.05,8.66,162.03,Maize
36,88,129,27.72,83.73,8.1,161.66,Maize
21,85,127,26.39,89.19,8.16,173.83,Maize
23,87,119,27.29,88.54,8.13,163.68,Maize
32,77,127,27.33,83.23,8.76,169.59,Maize
23,80,123,26.78,89.44,8.13,175.59,Maize
35,92,123,27.1,85.09,8.48,168.29,Maize
36,78,117,24.11,90.81,8.11,169.11,Maize
28,82,128,23.75,84.14,8.19,170.82,Maize
40,87,115,26.92,91.25,8.26,161.61,Maize
31,93,126,24.92,89.99,8.61,166.3,Maize
33,78,114,23.97,86.18,8.57,164.32,Maize
23,92,124,26.22,90.45,8.32,164.57,Maize
37,92,131,25.03,87.33,8.02,174.17,Maize
39,96,120,26.72,87.33,8.83,158.89,Maize
37,90,115,25.36,90.52,8.3,163.9,Maize
29,83,130,25.94,89.39,8.1,173.53,Maize
29,79,127,26.21,89.86,8.1,171.92,Maize
30,82,133,24.1,90.27,8.83,164.24,Maize
32,90,122,25.23,82.76,8.61,173.26,Maize
21,77,133,25.46,89.32,8.87,169.75,Maize
22,88,125,24.24,83.64,8.47,174.46,Maize
30,91,126,26.34,92.34,8.38,170.16,Maize
25,94,113,23.91,83.24,8.65,160.96,Maize
38,94,118,23.84,85.93,8.66,160.71,Maize
29,85,116,26.71,85.41,8.89,175.01,Maize
30,85,116,27.68,92.12,8.94,161.9,Maize
27,86,115,25.29,89.93,8.89,160.37,Maize
35,94,119,25.74,89.3,8.55,164.26,Maize
26,89,128,27.22,83.8,8.01,162.28,Maize
30,89,129,25.35,88.03,8.16,176.84,Maize
26,83,117,25.85,90.49,7.95,174.78,Maize
32,87,127,23.92,90.77,8.22,171.05,Maize
22,88,120,27.03,91.16,8.15,173.81,Maize
26,83,129,23.78,88.18,8.8,176.31,Maize
25,79,115,26.97,90.64,8.88,168.09,Maize
37,88,119,24.95,86.26,8.39,159.62,Maize
24,88,113,26.19,85.34,8.76,177.31,Maize
40,96,130,27.5,89.93,8.28,159.38,Maize
41,82,129,25.59,83.04,8.37,167.93,Maize
39,83,114,24.66,89.23,8.51,168.4,Maize
40,94,115,26.84,84.12,8.46,167.1,Maize
25,85,115,25.6,86.38,8.63,164.28,Maize
39,89,116,25.61,87.31,8.79,175.37,Maize
39,92,123,27.27,89.58,7.97,158.47,Maize
29,97,121,24.81,83.32,8.01,173.76,Maize
23,90,130,25.68,92.54,8.28,162.77,Maize
26,93,125,27.08,92.28,8.69,161.7,Maize
41,95,132,27.3,85.3,8.23,159.85,Maize
33,80,114,25.45,91.63,8.28,168.51,Maize
28,91,117,27.16,91.93,8.0,160.03,Maize
35,81,114,24.52,90.35,8.2,175.42,Maize
39,80,122,24.9,91.52,8.02,163.01,Maize
31,81,115,26.0,87.63,8.33,174.32,Maize
25,89,122,25.37,84.8,8.09,168.12,Maize
23,80,113,24.39,90.59,8.37,172.87,Maize
38,97,125,27.08,90.76,8.37,177.09,Maize
22,88,122,26.85,84.0,8.46,171.65,Maize
33,79,117,27.12,86.62,8.64,164.78,Maize
29,93,127,26.84,88.94,8.28,171.21,Maize
21,96,129,26.72,91.98,8.6,168.95,Maize
31,85,118,27.56,88.95,8.85,174.32,Maize
40,88,120,25.59,84.17,8.74,164.59,Maize
40,93,125,26.1,90.54,8.57,174.54,Maize
41,90,117,26.29,91.36,8.48,158.59,Maize
39,94,113,24.45,86.25,8.46,170.21,Maize
35,96,114,25.55,87.44,8.37,168.91,Maize
25,83,114,23.76,85.39,8.71,159.54,Maize
39,77,126,23.85,86.38,8.81,177.34,Maize
21,93,133,23.99,91.13,8.66,175.92,Maize
29,95,117,24.74,86.69,8.17,172.14,Maize
35,95,118,25.68,86.73,8.04,160.05,Maize
33,95,117,26.46,86.75,8.85,163.23,Maize
37,84,131,27.29,91.71,8.43,162.5,Maize
32,88,129,25.69,84.17,8.56,171.56,Maize
29,89,121,24.26,92.27,8.23,163.86,Maize
29,93,129,25.81,91.81,8.5,169.36,Maize
21,93,115,25.19,86.19,8.38,175.81,Maize
32,77,114,27.16,90.53,8.89,174.91,Maize
33,93,123,27.64,84.85,8.61,161.18,Maize
31,89,122,24.85,85.35,8.31,176.74,Maize
41,94,114,27.18,86.27,8.46,169.15,Maize
66,81,35,20.34,84.03,8.62,55.72,Chickpea
59,86,38,19.88,86.79,8.13,64.97,Chickpea
57,68,40,19.09,88.83,8.14,60.57,Chickpea
57,80,33,19.08,90.25,8.74,71.88,Chickpea
61,78,36,21.35,90.08,8.47,60.67,Chickpea
70,69,39,21.14,85.22,8.8,71.13,Chickpea
65,85,38,20.66,89.53,8.86,56.75,Chickpea
59,73,28,20.52,89.01,8.15,72.18,Chickpea
76,73,33,21.24,86.0,8.2,64.82,Chickpea
61,76,39,17.96,82.96,8.42,63.52,Chickpea
74,87,29,20.85,83.99,7.98,73.86,Chickpea
60,86,35,21.04,88.1,8.84,60.1,Chickpea
74,80,43,17.67,88.09,8.69,66.25,Chickpea
57,73,37,17.76,87.25,8.25,59.27,Chickpea
72,82,39,20.43,85.71,8.82,67.14,Chickpea
62,77,32,18.31,80.88,8.66,67.89,Chickpea
65,67,33,19.38,86.92,8.49,68.29,Chickpea
67,71,40,18.18,82.9,8.72,68.88,Chickpea
65,78,42,19.47,83.3,8.24,71.91,Chickpea
63,71,35,18.62,88.88,8.82,57.63,Chickpea
62,85,46,17.94,89.72,8.27,72.86,Chickpea
76,77,30,20.06,82.72,8.0,73.02,Chickpea
75,72,34,18.93,85.25,8.66,71.66,Chickpea
74,84,28,19.8,86.9,8.51,68.82,Chickpea
73,75,39,21.11,81.81,8.28,68.55,Chickpea
57,67,42,17.79,86.28,8.5,63.24,Chickpea
71,79,36,20.89,89.17,8.8,66.43,Chickpea
66,75,37,20.38,80.72,8.65,58.7,Chickpea
63,78,28,19.36,84.42,8.01,65.19,Chickpea
75,74,37,17.98,84.64,8.61,74.19,Chickpea
73,85,44,19.3,87.27,8.61,58.52,Chickpea
73,75,36,18.94,83.81,8.48,64.01,Chickpea
66,79,36,17.45,89.73,8.25,62.13,Chickpea
71,81,44,18.91,88.3,8.07,69.03,Chickpea
64,86,40,18.18,87.05,8.46,66.35,Chickpea
67,69,38,19.1,88.83,8.12,58.2,Chickpea
71,87,31,20.49,86.25,8.78,68.5,Chickpea
68,85,36,19.44,83.43,8.31,64.03,Chickpea
68,74,26,18.57,83.7,8.83,54.98,Chickpea
68,77,43,20.2,84.58,8.27,57.61,Chickpea
57,79,43,19.49,84.71,8.28,57.48,Chickpea
76,79,28,17.65,81.35,8.15,63.01,Chickpea
72,67,39,20.23,81.17,8.68,57.11,Chickpea
63,86,29,19.07,87.23,8.07,55.45,Chickpea
71,77,43,20.37,89.99,7.98,58.91,Chickpea
57,69,31,18.78,86.89,8.48,58.65,Chickpea
75,80,32,17.94,88.45,7.99,70.26,Chickpea
64,73,42,18.87,82.24,7.95,58.82,Chickpea
62,74,44,17.65,83.7,8.61,72.21,Chickpea
62,74,46,18.4,89.64,8.57,60.76,Chickpea
57,70,29,19.18,88.26,8.53,67.16,Chickpea
73,77,28,21.27,81.36,8.78,54.65,Chickpea
70,85,38,19.98,87.83,8.25,55.68,Chickpea
57,68,43,19.34,87.77,8.09,70.35,Chickpea
66,77,43,18.12,83.03,8.31,68.95,Chickpea
60,79,42,20.47,81.56,8.48,55.63,Chickpea
63,81,45,20.35,89.68,8.35,72.11,Chickpea
59,74,40,17.62,83.07,8.43,73.81,Chickpea
65,81,45,19.82,89.19,7.91,71.82,Chickpea
64,70,32,18.92,81.06,8.6,65.35,Chickpea
66,80,39,19.06,88.34,7.92,64.43,Chickpea
76,81,29,17.5,81.01,8.61,66.77,Chickpea
59,85,34,21.19,86.1,8.05,64.22,Chickpea
62,78,26,17.56,89.43,8.74,62.4,Chickpea
74,78,26,18.5,88.94,8.59,59.24,Chickpea
77,85,41,18.21,88.83,8.43,64.66,Chickpea
69,68,42,21.22,87.3,8.51,62.65,Chickpea
70,76,30,18.03,86.06,7.87,70.6,Chickpea
73,76,35,18.35,85.73,8.84,66.08,Chickpea
70,76,46,19.91,83.27,8.34,63.56,Chickpea
69,80,42,17.84,81.42,8.39,63.58,Chickpea
60,73,31,20.71,84.52,8.31,59.79,Chickpea
72,82,46,20.25,81.7,8.75,71.46,Chickpea
61,80,35,18.89,88.28,8.09,69.62,Chickpea
67,69,28,21.02,87.46,8.86,68.36,Chickpea
63,86,35,17.99,87.83,8.34,57.45,Chickpea
76,85,34,19.6,84.2,8.84,64.81,Chickpea
68,83,32,21.13,84.93,8.39,70.0,Chickpea
75,72,38,21.22,81.67,8.08,58.55,Chickpea
72,87,26,17.57,86.58,8.34,61.07,Chickpea
73,74,31,20.81,87.03,8.42,55.47,Chickpea
65,86,38,18.56,84.52,8.87,67.08,Chickpea
59,84,33,20.6,86.16,8.79,68.73,Chickpea
59,76,43,19.87,83.81,8.55,66.9,Chickpea
58,83,37,19.98,83.31,8.58,60.07,Chickpea
58,71,34,20.79,80.78,8.2,73.64,Chickpea
70,82,39,19.0,85.52,8.57,59.65,Chickpea
76,86,46,18.88,83.34,8.85,65.71,Chickpea
61,74,27,19.49,84.15,8.54,61.0,Chickpea
70,73,43,19.54,82.55,8.45,55.59,Chickpea
63,86,37,18.71,85.65,8.0,64.88,Chickpea
75,87,30,17.83,81.81,8.62,69.15,Chickpea
62,76,39,19.18,85.28,8.61,55.89,Chickpea
75,71,28,19.76,81.36,8.45,73.56,Chickpea
59,68,44,20.85,89.98,8.53,66.69,Chickpea
64,76,37,19.15,85.15,7.96,72.2,Chickpea
65,68,43,21.32,85.59,8.12,64.67,Chickpea
72,80,44,21.15,81.56,8.66,72.19,Chickpea
76,70,40,19.98,81.68,8.81,65.74,Chickpea
58,74,27,17.9,82.36,8.49,60.25,Chickpea
34,91,87,32.93,79.51,6.49,106.03,Kidneybeans
30,83,94,32.34,80.11,5.59,122.51,Kidneybeans
36,90,91,32.4,85.07,6.39,110.12,Kidneybeans
44,89,89,33.44,85.63,5.63,112.71,Kidneybeans
34,99,87,33.08,86.27,6.21,106.62,Kidneybeans
30,82,96,30.11,78.19,6.44,106.18,Kidneybeans
44,86,83,31.02,85.64,5.61,116.36,Kidneybeans
35,91,92,32.02,81.24,5.9,119.76,Kidneybeans
34,97,79,30.91,83.16,6.29,105.37,Kidneybeans
31,83,90,31.88,78.87,6.51,124.31,Kidneybeans
38,85,94,33.18,80.36,5.96,106.66,Kidneybeans
42,97,85,32.52,84.7,6.31,108.98,Kidneybeans
37,85,87,31.64,85.77,5.67,108.92,Kidneybeans
40,99,95,33.65,79.23,6.57,108.9,Kidneybeans
43,81,80,30.99,82.72,5.93,123.4,Kidneybeans
26,100,84,33.4,79.01,5.88,115.41,Kidneybeans
43,99,88,31.6,78.3,5.82,124.12,Kidneybeans
25,91,78,32.83,85.87,6.36,114.46,Kidneybeans
28,88,89,30.13,84.18,6.2,123.26,Kidneybeans
33,96,88,32.02,79.13,6.55,108.8,Kidneybeans
28,87,83,32.04,80.25,5.86,118.64,Kidneybeans
43,98,83,32.91,79.34,6.06,113.7,Kidneybeans
45,90,86,31.38,86.35,6.57,119.6,Kidneybeans
28,92,88,29.8,77.73,6.15,123.66,Kidneybeans
29,95,85,33.19,77.28,6.55,114.69,Kidneybeans
32,91,79,31.95,84.56,6.04,112.1,Kidneybeans
38,99,83,30.07,78.7,5.7,117.96,Kidneybeans
35,88,84,30.31,81.44,6.41,121.83,Kidneybeans
45,93,93,32.22,77.48,5.82,123.87,Kidneybeans
32,99,87,30.97,86.47,5.72,107.88,Kidneybeans
31,89,88,29.94,83.83,5.96,112.77,Kidneybeans
33,82,88,32.17,82.54,6.08,106.01,Kidneybeans
30,94,97,31.14,85.7,5.77,108.06,Kidneybeans
29,95,81,33.66,82.48,6.46,111.07,Kidneybeans
43,88,83,30.85,82.08,6.4,113.54,Kidneybeans
39,89,98,32.24,79.6,6.54,108.69,Kidneybeans
36,87,92,30.37,80.1,6.52,124.67,Kidneybeans
42,95,93,31.22,79.44,6.01,107.5,Kidneybeans
42,94,79,32.49,79.5,5.86,106.17,Kidneybeans
27,81,96,33.5,84.93,6.55,119.74,Kidneybeans
35,81,86,30.28,84.38,6.1,105.83,Kidneybeans
37,85,85,30.7,86.85,6.28,122.61,Kidneybeans
33,82,83,31.86,82.74,5.95,112.63,Kidneybeans
28,82,88,30.0,84.66,6.11,107.69,Kidneybeans
36,87,87,31.54,83.43,6.51,119.67,Kidneybeans
36,91,80,29.75,84.52,6.02,121.69,Kidneybeans
29,92,90,30.08,85.77,5.89,109.03,Kidneybeans
40,85,88,31.85,83.0,6.19,122.83,Kidneybeans
37,87,86,31.12,77.45,6.25,118.46,Kidneybeans
28,87,83,33.15,77.11,6.38,117.45,Kidneybeans
32,94,95,33.27,81.74,6.47,123.72,Kidneybeans
42,89,92,30.44,81.89,6.56,123.59,Kidneybeans
27,86,97,33.33,78.37,6.24,111.28,Kidneybeans
33,81,79,30.89,80.39,6.53,122.28,Kidneybeans
37,81,82,29.74,85.48,6.09,115.81,Kidneybeans
34,90,86,32.02,77.87,5.93,120.58,Kidneybeans
40,87,85,32.91,84.12,6.09,111.08,Kidneybeans
30,86,79,31.02,83.74,5.97,119.91,Kidneybeans
34,97,78,31.51,78.14,5.78,114.98,Kidneybeans
41,92,93,32.79,77.13,6.37,118.25,Kidneybeans
44,94,89,33.47,81.09,6.45,121.9,Kidneybeans
34,90,95,30.59,81.08,5.71,123.0,Kidneybeans
31,83,83,32.19,86.5,6.5,112.7,Kidneybeans
44,86,83,32.07,86.2,6.28,117.43,Kidneybeans
39,99,85,32.25,81.28,5.58,124.33,Kidneybeans
31,88,84,31.53,78.18,6.47,117.42,Kidneybeans
26,82,83,30.59,80.54,6.06,106.23,Kidneybeans
25,93,84,30.58,77.75,5.72,121.74,Kidneybeans
38,85,85,30.21,78.25,5.96,109.73,Kidneybeans
41,99,90,29.78,85.78,5.8,117.15,Kidneybeans
25,80,95,30.0,85.42,5.88,114.66,Kidneybeans
29,94,90,32.82,77.72,6.24,116.8,Kidneybeans
27,81,78,32.92,86.92,6.13,107.68,Kidneybeans
35,92,83,30.0,79.03,6.03,109.18,Kidneybeans
34,99,86,31.33,79.18,5.61,121.34,Kidneybeans
27,81,96,31.15,84.67,6.49,120.16,Kidneybeans
30,81,78,29.8,86.29,6.42,119.03,Kidneybeans
38,89,83,33.54,83.44,6.44,110.58,Kidneybeans
27,99,82,33.62,83.83,6.48,118.29,Kidneybeans
31,83,92,33.49,84.59,6.02,123.6,Kidneybeans
42,92,85,31.79,82.23,5.8,123.3,Kidneybeans
45,97,86,32.2,81.94,6.26,106.75,Kidneybeans
31,97,89,30.18,81.47,5.89,120.67,Kidneybeans
35,99,87,33.62,86.46,5.94,107.85,Kidneybeans
32,89,81,32.45,80.21,6.44,111.37,Kidneybeans
38,90,82,31.94,84.8,6.42,117.86,Kidneybeans
32,99,82,33.36,82.21,6.44,114.66,Kidneybeans
43,99,84,33.22,83.11,5.88,111.85,Kidneybeans
28,81,90,31.69,81.21,6.21,120.43,Kidneybeans
32,100,93,33.18,80.73,5.59,124.15,Kidneybeans
36,97,97,30.82,86.62,6.51,109.81,Kidneybeans
34,81,94,30.12,78.29,6.55,112.09,Kidneybeans
31,94,92,31.96,82.77,6.54,105.6,Kidneybeans
44,89,98,30.27,81.57,6.06,112.96,Kidneybeans
33,97,90,30.26,79.27,6.31,114.78,Kidneybeans
40,94,91,30.04,81.43,6.11,107.7,Kidneybeans
43,82,98,29.77,84.28,6.56,113.1,Kidneybeans
32,81,88,30.56,79.15,6.01,116.99,Kidneybeans
26,86,85,30.84,86.17,5.78,106.49,Kidneybeans
45,91,80,29.69,83.08,6.53,108.44,Kidneybeans
51,116,164,27.47,84.2,4.83,173.49,Pigeonpeas
59,103,168,28.19,84.17,4.79,187.37,Pigeonpeas
56,116,174,27.95,81.42,4.59,178.87,Pigeonpeas
55,111,164,26.27,83.68,4.96,183.53,Pigeonpeas
52,119,170,25.58,82.53,4.9,188.21,Pigeonpeas
51,103,172,24.91,90.67,5.1,185.48,Pigeonpeas
53,112,165,24.46,88.5,5.12,185.33,Pigeonpeas
69,117,158,24.54,83.69,4.8,172.75,Pigeonpeas
68,119,164,28.07,88.08,5.14,176.95,Pigeonpeas
58,103,173,24.58,86.11,5.0,182.72,Pigeonpeas
53,112,162,26.57,84.46,5.43,187.0,Pigeonpeas
65,117,157,25.74,81.27,4.91,175.51,Pigeonpeas
60,103,169,26.29,85.6,5.27,183.84,Pigeonpeas
50,107,171,26.09,87.77,4.65,168.97,Pigeonpeas
64,120,173,25.44,86.56,4.7,183.16,Pigeonpeas
57,105,163,24.88,89.64,4.5,184.2,Pigeonpeas
59,110,158,26.7,84.05,4.98,175.34,Pigeonpeas
53,103,167,26.88,82.99,4.89,184.83,Pigeonpeas
52,117,163,25.84,90.52,5.18,168.75,Pigeonpeas
69,101,163,26.48,83.08,5.36,170.59,Pigeonpeas
56,114,163,25.26,87.11,5.36,180.84,Pigeonpeas
49,105,174,26.97,87.02,4.53,174.49,Pigeonpeas
56,116,164,24.64,87.4,4.87,188.03,Pigeonpeas
58,115,166,26.74,86.12,5.42,182.34,Pigeonpeas
62,113,174,25.14,83.7,5.46,183.12,Pigeonpeas
52,118,175,26.15,87.01,5.1,176.83,Pigeonpeas
60,109,167,27.31,81.87,5.09,177.35,Pigeonpeas
52,100,175,26.77,84.15,4.89,183.83,Pigeonpeas
52,114,169,25.65,89.89,4.53,171.97,Pigeonpeas
52,116,173,24.57,87.63,5.12,180.69,Pigeonpeas
67,105,172,26.58,87.38,5.37,174.29,Pigeonpeas
56,106,175,26.92,86.83,5.14,168.58,Pigeonpeas
58,106,157,24.54,85.49,4.53,184.84,Pigeonpeas
57,105,167,26.47,88.51,4.54,186.2,Pigeonpeas
54,109,168,26.22,88.78,5.42,173.09,Pigeonpeas
67,118,165,24.81,88.29,5.37,182.47,Pigeonpeas
68,114,169,26.32,88.75,4.99,180.49,Pigeonpeas
59,104,173,28.07,88.29,5.15,185.31,Pigeonpeas
52,105,157,24.77,82.22,5.07,171.58,Pigeonpeas
51,107,163,27.63,90.07,4.88,172.24,Pigeonpeas
62,102,156,26.05,85.91,4.94,170.09,Pigeonpeas
66,109,165,25.01,83.51,5.13,181.63,Pigeonpeas
57,118,172,26.11,90.06,5.4,169.74,Pigeonpeas
50,110,156,26.85,86.84,5.19,173.83,Pigeonpeas
50,116,173,25.67,83.04,4.83,182.81,Pigeonpeas
66,105,162,26.1,85.9,5.09,170.59,Pigeonpeas
54,110,158,26.83,88.66,4.91,179.9,Pigeonpeas
66,114,175,27.38,88.1,5.35,178.62,Pigeonpeas
54,108,163,27.03,89.17,4.47,179.32,Pigeonpeas
66,102,171,25.16,81.26,4.95,182.27,Pigeonpeas
53,109,156,25.1,88.55,5.27,175.08,Pigeonpeas
52,118,157,25.07,89.77,5.07,176.89,Pigeonpeas
52,114,173,24.57,83.43,4.54,173.86,Pigeonpeas
62,111,164,27.38,87.75,4.93,178.8,Pigeonpeas
58,110,164,27.6,85.49,5.36,179.71,Pigeonpeas
49,107,157,25.33,90.48,5.05,170.74,Pigeonpeas
67,113,170,27.48,83.94,4.68,169.72,Pigeonpeas
51,102,159,27.58,83.3,5.19,177.73,Pigeonpeas
60,106,172,28.22,82.0,5.32,181.99,Pigeonpeas
63,118,162,24.34,85.15,5.13,171.75,Pigeonpeas
61,101,167,27.53,85.57,5.21,176.36,Pigeonpeas
49,100,160,26.82,86.64,5.23,180.53,Pigeonpeas
62,113,175,24.61,86.91,4.61,175.57,Pigeonpeas
69,113,174,26.18,83.55,5.37,178.2,Pigeonpeas
64,115,167,26.78,81.57,5.46,172.73,Pigeonpeas
49,116,169,27.49,85.62,5.19,185.38,Pigeonpeas
67,116,173,27.32,84.14,4.67,186.91,Pigeonpeas
53,119,172,24.72,83.17,5.04,183.73,Pigeonpeas
53,116,165,27.91,89.54,5.32,174.89,Pigeonpeas
68,101,158,27.68,85.72,4.8,181.96,Pigeonpeas
69,119,170,26.32,86.62,4.78,182.81,Pigeonpeas
66,117,175,25.9,81.06,4.59,184.72,Pigeonpeas
63,119,160,24.42,83.16,5.03,170.51,Pigeonpeas
51,120,160,26.18,87.79,4.91,183.98,Pigeonpeas
60,118,165,25.8,84.32,4.84,188.23,Pigeonpeas
53,113,176,24.98,82.85,5.01,185.49,Pigeonpeas
54,106,165,27.65,89.22,4.57,168.59,Pigeonpeas
66,115,173,24.95,83.22,5.44,173.97,Pigeonpeas
54,105,158,28.21,86.66,4.85,181.57,Pigeonpeas
58,118,162,25.59,84.56,5.38,176.77,Pigeonpeas
55,106,162,25.46,89.41,5.43,180.63,Pigeonpeas
50,101,175,27.49,90.81,5.14,184.1,Pigeonpeas
51,108,164,25.49,82.56,4.71,182.57,Pigeonpeas
50,101,164,26.37,86.6,4.58,170.03,Pigeonpeas
67,115,175,26.68,83.87,5.46,176.46,Pigeonpeas
59,116,159,25.27,89.66,4.56,177.39,Pigeonpeas
52,113,160,26.95,86.15,5.15,169.54,Pigeonpeas
58,101,158,28.07,88.14,4.77,170.09,Pigeonpeas
61,100,175,26.01,89.51,5.02,170.98,Pigeonpeas
66,107,159,25.67,84.09,4.61,186.35,Pigeonpeas
66,119,167,25.46,86.91,4.65,172.3,Pigeonpeas
50,112,170,24.94,89.47,5.23,171.04,Pigeonpeas
61,117,159,27.46,82.01,4.61,185.44,Pigeonpeas
67,103,167,27.91,83.35,5.35,174.12,Pigeonpeas
52,104,174,24.86,88.73,5.24,179.98,Pigeonpeas
