temperature,humidity,moisture,soil_type,crop_type,N,P,K,fertilizer
38,69,55,Black,Paddy,15,32,15,14-35-14
38,54,56,Clayey,Paddy,20,35,6,DAP
31,69,45,Clayey,Cotton,22,18,10,20-20
37,55,52,Sandy,Sugarcane,11,38,14,14-35-14
29,58,29,Black,Sugarcane,14,34,10,14-35-14
35,55,64,Black,Ground Nuts,39,8,9,Urea
29,59,31,Clayey,Cotton,9,24,28,10-26-26
30,64,36,Black,Pulses,30,26,10,28-28
35,70,59,Loamy,Paddy,19,19,5,20-20
27,71,58,Sandy,Millets,18,18,0,20-20
26,56,42,Loamy,Tobacco,10,28,26,10-26-26
26,56,27,Clayey,Wheat,28,28,0,28-28
32,51,39,Red,Barley,19,38,7,DAP
37,50,56,Loamy,Ground Nuts,15,39,6,DAP
36,70,30,Red,Barley,11,26,24,10-26-26
25,66,50,Sandy,Millets,10,22,22,10-26-26
35,53,61,Red,Maize,11,32,11,14-35-14
37,56,55,Sandy,Millets,12,36,10,14-35-14
33,56,46,Sandy,Barley,11,24,22,10-26-26
30,55,58,Clayey,Sugarcane,11,25,24,10-26-26
27,50,65,Black,Barley,20,42,3,DAP
27,53,48,Red,Wheat,28,27,6,28-28
34,50,61,Sandy,Barley,17,42,0,DAP
37,71,56,Red,Pulses,15,39,3,DAP
34,60,28,Black,Wheat,35,5,0,Urea
36,67,49,Sandy,Tobacco,29,27,8,28-28
36,60,51,Black,Pulses,9,22,26,10-26-26
32,59,62,Black,Maize,11,25,26,10-26-26
38,66,33,Loamy,Wheat,12,36,11,14-35-14
34,52,27,Loamy,Ground Nuts,22,18,7,20-20
33,51,62,Sandy,Sugarcane,9,22,22,10-26-26
25,66,32,Sandy,Oil seeds,37,2,4,Urea
36,61,57,Clayey,Pulses,17,40,0,DAP
35,50,34,Loamy,Cotton,30,29,4,28-28
32,60,32,Red,Barley,13,32,10,14-35-14
30,72,43,Sandy,Tobacco,29,27,9,28-28
27,62,28,Sandy,Maize,39,8,2,Urea
29,65,59,Loamy,Oil seeds,41,8,9,Urea
30,65,36,Loamy,Wheat,14,30,10,14-35-14
37,51,36,Black,Ground Nuts,14,35,11,14-35-14
27,65,28,Loamy,Ground Nuts,11,26,24,10-26-26
25,66,55,Sandy,Paddy,12,36,14,14-35-14
31,57,30,Clayey,Cotton,26,29,5,28-28
35,70,50,Loamy,Millets,41,10,9,Urea
33,71,38,Black,Barley,10,37,13,14-35-14
33,62,54,Loamy,Tobacco,12,37,14,14-35-14
27,72,58,Clayey,Barley,28,25,5,28-28
28,68,35,Red,Wheat,11,33,10,14-35-14
28,62,42,Sandy,Oil seeds,20,20,10,20-20
34,53,36,Loamy,Barley,8,26,25,10-26-26
28,68,27,Clayey,Pulses,20,40,10,DAP
27,66,62,Red,Barley,28,26,6,28-28
30,57,46,Black,Tobacco,15,41,3,DAP
38,55,60,Red,Pulses,21,21,8,20-20
33,51,41,Clayey,Maize,15,33,12,14-35-14
33,63,61,Red,Millets,29,28,2,28-28
35,54,61,Loamy,Pulses,17,40,1,DAP
38,61,58,Clayey,Ground Nuts,20,42,5,DAP
29,71,37,Sandy,Tobacco,20,22,5,20-20
37,51,49,Red,Paddy,17,39,5,DAP
28,70,45,Red,Paddy,11,28,24,10-26-26
26,59,33,Black,Barley,17,36,5,DAP
27,51,63,Red,Tobacco,14,32,10,14-35-14
27,65,49,Sandy,Cotton,11,38,15,14-35-14
27,60,32,Black,Ground Nuts,12,32,15,14-35-14
36,63,36,Clayey,Wheat,22,20,6,20-20
31,70,36,Black,Oil seeds,27,27,9,28-28
29,53,63,Sandy,Maize,39,7,0,Urea
36,58,41,Sandy,Millets,13,33,13,14-35-14
34,52,53,Red,Maize,38,4,3,Urea
30,66,59,Black,Sugarcane,30,27,9,28-28
33,51,29,Loamy,Oil seeds,26,27,5,28-28
28,56,44,Red,Barley,15,38,8,DAP
31,67,44,Sandy,Maize,17,42,8,DAP
31,61,63,Red,Wheat,18,21,7,20-20
25,71,57,Loamy,Millets,25,26,9,28-28
29,72,25,Loamy,Paddy,35,9,10,Urea
26,55,58,Loamy,Ground Nuts,17,36,1,DAP
25,59,39,Loamy,Maize,18,42,8,DAP
25,53,45,Loamy,Barley,29,30,2,28-28
36,61,53,Black,Tobacco,28,25,2,28-28
30,64,63,Loamy,Paddy,11,25,28,10-26-26
37,70,38,Sandy,Maize,14,38,12,14-35-14
32,51,34,Black,Maize,15,32,13,14-35-14
25,59,37,Red,Barley,25,30,6,28-28
34,59,47,Loamy,Millets,12,37,10,14-35-14
30,61,35,Clayey,Pulses,26,28,5,28-28
26,66,35,Black,Ground Nuts,12,22,23,10-26-26
26,67,61,Loamy,Wheat,10,36,13,14-35-14
37,52,40,Clayey,Tobacco,19,22,7,20-20
31,50,29,Sandy,Millets,20,22,2,20-20
27,72,42,Black,Sugarcane,16,36,2,DAP
29,59,36,Black,Barley,27,27,8,28-28
36,59,62,Sandy,Sugarcane,30,25,7,28-28
37,52,49,Black,Barley,35,5,9,Urea
38,52,50,Sandy,Tobacco,30,25,5,28-28
38,66,36,Red,Sugarcane,26,25,8,28-28
30,61,52,Red,Maize,13,35,10,14-35-14
35,55,47,Clayey,Millets,8,24,26,10-26-26
31,71,48,Black,Wheat,11,33,15,14-35-14
34,51,36,Clayey,Barley,30,29,5,28-28
26,53,28,Loamy,Pulses,12,24,26,10-26-26
29,52,39,Sandy,Sugarcane,18,22,3,20-20
35,50,58,Clayey,Paddy,18,39,9,DAP
37,55,53,Red,Barley,20,22,7,20-20
33,59,56,Clayey,Paddy,38,10,9,Urea
35,54,48,Clayey,Pulses,10,31,13,14-35-14
31,64,57,Clayey,Sugarcane,17,39,7,DAP
32,61,57,Red,Ground Nuts,11,32,15,14-35-14
37,55,59,Black,Millets,10,36,14,14-35-14
38,54,35,Clayey,Tobacco,20,22,1,20-20
34,50,55,Clayey,Cotton,18,18,1,20-20
32,51,52,Red,Millets,16,39,5,DAP
31,57,38,Black,Oil seeds,35,9,9,Urea
28,63,63,Sandy,Cotton,22,22,7,20-20
26,71,54,Black,Cotton,20,22,9,20-20
30,54,49,Loamy,Tobacco,21,19,5,20-20
37,68,42,Black,Millets,27,25,2,28-28
28,56,60,Clayey,Pulses,17,40,1,DAP
28,72,44,Sandy,Cotton,20,35,0,DAP
38,62,52,Black,Millets,16,42,6,DAP
35,55,55,Red,Wheat,28,30,6,28-28
26,68,56,Sandy,Millets,19,19,0,20-20
26,66,33,Loamy,Maize,39,8,3,Urea
33,63,45,Sandy,Wheat,25,26,2,28-28
26,51,25,Red,Wheat,12,32,15,14-35-14
29,61,28,Sandy,Barley,12,24,25,10-26-26
25,71,64,Clayey,Tobacco,40,7,6,Urea
33,56,34,Clayey,Maize,8,24,23,10-26-26
28,51,31,Black,Maize,11,32,15,14-35-14
36,56,54,Loamy,Maize,10,34,14,14-35-14
36,69,59,Clayey,Cotton,17,39,5,DAP
27,61,43,Loamy,Maize,36,1,10,Urea
32,65,56,Black,Cotton,30,25,6,28-28
26,57,45,Red,Oil seeds,26,28,5,28-28
31,65,26,Red,Barley,15,32,15,14-35-14
29,64,65,Clayey,Oil seeds,9,28,24,10-26-26
33,52,30,Loamy,Ground Nuts,10,34,15,14-35-14
